Host,Dopant,Eseg,fcc_facet,cn,pauly_eneg_host,pauly_eneg_dopant,diff_pauly_eneg,CEb_host,CEb_dopant,diff_CEb,diff_CEb/cn,gordy_eneg_host,gordy_eneg_dopant,diff_gordy_eneg,r_host,r_dopant,diff_r,EA_host,EA_dopant,diff_EA,IP_host,IP_dopant,diff_IP,CEb_host/CN,CEb_dopant/CN,CEb_host/sqrtCN,CEb_dopant/sqrtCN,diff_CEb/sqrtCN,CEb_host*CN,CEb_dopant*CN,diff_CEb*CN,density_host,density_dopant,diff_density,lattice_const_host,lattice_const_dopant,diff_lattice_const,dipole_polar_host,dipole_polar_dopant,diff_dipole_polar
Rh,Ni,0.134,110,7,2.28,1.91,0.3699999999999999,-5.7,-4.68,-1.0200000000000005,-0.14571428571428577,0.0243999999999999,0.0336363636363636,-0.009236363636363702,1.73,1.49,0.24,1.137,1.156,-0.018999999999999906,7.4589,7.639877,-0.1809770000000004,-0.8142857142857143,-0.6685714285714285,-2.1543974961525953,-1.7688737336831832,-0.3855237624694121,-39.9,-32.76,-7.140000000000001,12.41,8.902,3.508000000000001,3.8,3.52,0.2799999999999998,66.0,49.0,17.0
Ir,Ni,-0.459,110,7,2.2,1.91,0.29000000000000026,-7.19,-4.68,-2.5100000000000007,-0.35857142857142865,0.0290983606557376,0.0336363636363636,-0.004538002980626003,1.8,1.49,0.31000000000000005,1.5638,1.156,0.40780000000000016,8.96702,7.639877,1.3271429999999995,-1.0271428571428571,-0.6685714285714285,-2.717564560936344,-1.7688737336831832,-0.9486908272531607,-50.330000000000005,-32.76,-17.570000000000007,22.42,8.902,13.518000000000002,3.84,3.52,0.31999999999999984,54.0,49.0,5.0
Rh,Ir,1.04,110,7,2.28,2.2,0.07999999999999963,-5.7,-7.19,1.4900000000000002,0.21285714285714288,0.0243999999999999,0.0290983606557376,-0.004698360655737699,1.73,1.8,-0.07000000000000006,1.137,1.5638,-0.42680000000000007,7.4589,8.96702,-1.50812,-0.8142857142857143,-1.0271428571428571,-2.1543974961525953,-2.717564560936344,0.5631670647837486,-39.9,-50.330000000000005,10.430000000000007,12.41,22.42,-10.010000000000002,3.8,3.84,-0.040000000000000036,66.0,54.0,12.0
Pt,Pd,0.196,110,7,2.2,2.2,0.0,-5.42,-3.74,-1.6799999999999997,-0.23999999999999996,0.0260162601626016,0.0541666666666666,-0.028150406504064997,1.77,1.69,0.08000000000000007,2.128,0.562,1.566,8.95883,8.33686,0.621970000000001,-0.7742857142857142,-0.5342857142857144,-2.0485674437100116,-1.41358712905451,-0.6349803146555018,-37.94,-26.18,-11.759999999999998,21.45,12.02,9.43,3.92,3.89,0.029999999999999805,48.0,26.14,21.86
Ir,Ag,-2.1,110,7,2.2,1.93,0.27000000000000024,-7.19,-2.52,-4.67,-0.6671428571428571,0.0290983606557376,0.026171875,0.002926485655737599,1.8,1.65,0.15000000000000013,1.5638,1.30199999999999,0.26180000000001,8.96702,7.576234,1.3907859999999994,-1.0271428571428571,-0.36,-2.717564560936344,-0.9524704719832525,-1.7650940889530915,-50.330000000000005,-17.64,-32.690000000000005,22.42,10.5,11.920000000000002,3.84,4.09,-0.25,54.0,55.0,-1.0
Pt,Ag,-0.531,110,7,2.2,1.93,0.27000000000000024,-5.42,-2.52,-2.9,-0.41428571428571426,0.0260162601626016,0.026171875,-0.00015561483739839899,1.77,1.65,0.1200000000000001,2.128,1.30199999999999,0.8260000000000101,8.95883,7.576234,1.3825960000000004,-0.7742857142857142,-0.36,-2.0485674437100116,-0.9524704719832525,-1.0960969717267592,-37.94,-17.64,-20.299999999999997,21.45,10.5,10.95,3.92,4.09,-0.16999999999999993,48.0,55.0,-7.0
Rh,Cu,-0.0986,110,7,2.28,1.9,0.3799999999999999,-5.7,-3.48,-2.22,-0.31714285714285717,0.0243999999999999,0.0299107142857142,-0.005510714285714299,1.73,1.45,0.28,1.137,1.235,-0.09800000000000009,7.4589,7.72638,-0.26747999999999994,-0.8142857142857143,-0.49714285714285716,-2.1543974961525953,-1.3153163660721108,-0.8390811300804846,-39.9,-24.36,-15.54,12.41,8.96,3.4499999999999993,3.8,3.61,0.18999999999999995,66.0,46.5,19.5
Rh,Pd,-0.239,110,7,2.28,2.2,0.07999999999999963,-5.7,-3.74,-1.96,-0.27999999999999997,0.0243999999999999,0.0541666666666666,-0.029766666666666698,1.73,1.69,0.040000000000000036,1.137,0.562,0.575,7.4589,8.33686,-0.8779599999999999,-0.8142857142857143,-0.5342857142857144,-2.1543974961525953,-1.41358712905451,-0.7408103670980855,-39.9,-26.18,-13.719999999999999,12.41,12.02,0.39000000000000057,3.8,3.89,-0.0900000000000003,66.0,26.14,39.86
Rh,Ag,-0.926,110,7,2.28,1.93,0.34999999999999987,-5.7,-2.52,-3.18,-0.4542857142857143,0.0243999999999999,0.026171875,-0.0017718750000000998,1.73,1.65,0.08000000000000007,1.137,1.30199999999999,-0.16499999999999004,7.4589,7.576234,-0.1173340000000005,-0.8142857142857143,-0.36,-2.1543974961525953,-0.9524704719832525,-1.201927024169343,-39.9,-17.64,-22.259999999999998,12.41,10.5,1.9100000000000001,3.8,4.09,-0.29000000000000004,66.0,55.0,11.0
Rh,Au,-1.08,110,7,2.28,2.4,-0.1200000000000001,-5.7,-3.03,-2.6700000000000004,-0.3814285714285715,0.0243999999999999,0.0270161290322581,-0.002616129032258198,1.73,1.74,-0.010000000000000009,1.137,2.30863,-1.17163,7.4589,9.225553,-1.7666529999999998,-0.8142857142857143,-0.43285714285714283,-2.1543974961525953,-1.1452323532179585,-1.0091651429346369,-39.9,-21.209999999999997,-18.69,12.41,19.3,-6.890000000000001,3.8,4.08,-0.28000000000000025,66.0,36.0,30.0
